variante,wiederholung,generation,beste_fitness,mittlere_fitness,stdabw_fitness,anzahl_spezies,ziel_erreicht
V0,0,0,-10.79101,-14.39198,1.47694,14,0
V0,0,1,-5.59773,-13.34339,1.62989,14,0
V0,0,2,-5.59773,-12.92806,1.59837,14,0
V0,0,3,-5.59773,-12.86745,1.64338,14,0
V0,0,4,-5.59773,-12.71864,1.63914,14,0
V0,0,5,-5.59773,-12.67898,1.66573,14,0
V0,0,6,-5.59773,-12.56458,1.65166,14,0
V0,0,7,-5.59773,-12.47835,1.74796,14,0
V0,0,8,-5.59773,-12.38392,1.75329,14,0
V0,0,9,-5.59773,-12.31507,1.87213,14,0
V0,0,10,-5.59773,-12.3218,2.04649,14,0
V0,0,11,-5.51274,-12.11439,2.18016,14,0
V0,0,12,-5.51274,-12.09318,2.24012,16,0
V0,0,13,-5.51274,-12.09032,2.24044,16,0
V0,0,14,-5.51274,-12.06011,2.22334,16,0
V0,0,15,-3.85887,-11.91204,2.39575,17,0
V0,0,16,-3.85887,-11.7201,2.5579,18,0
V0,0,17,-3.85887,-11.80954,2.61948,17,0
V0,0,18,-3.85887,-11.62602,2.64429,16,0
V0,0,19,-3.85887,-11.50616,2.72729,16,0
V0,0,20,-3.85887,-11.43772,2.79223,16,0
V0,0,21,-3.85887,-11.28312,2.88405,15,0
V0,0,22,-3.85887,-11.67202,2.87452,16,0
V0,0,23,-3.85887,-11.30507,2.98609,15,0
V0,0,24,-3.85887,-11.09108,3.0083,16,0
V0,0,25,-3.85887,-10.99407,2.97265,16,0
V0,0,26,-3.85887,-11.16761,3.17237,15,0
V0,0,27,-3.85887,-11.02668,3.17481,15,0
V0,0,28,-3.85887,-10.93932,3.25884,14,0
V0,0,29,-2.06827,-10.90823,3.18209,15,0
V0,0,30,-2.06827,-10.49912,3.35857,16,0
V0,0,31,-2.06827,-10.91814,3.40308,15,0
V0,0,32,-2.06827,-10.85757,3.36078,16,0
V0,0,33,-2.06827,-10.86113,3.46525,17,0
V0,0,34,-2.06827,-10.66591,3.52068,17,0
V0,0,35,-2.06827,-10.78742,3.55607,17,0
V0,0,36,-2.06827,-10.68559,3.46242,16,0
V0,0,37,-2.06827,-10.6992,3.48865,16,0
V0,0,38,14.04113,-10.66273,3.71998,18,0
V0,0,39,14.04113,-10.51933,3.75432,20,0
V0,0,40,14.04113,-10.90364,3.74381,19,0
V0,0,41,14.04113,-10.59213,3.83157,19,0
V0,0,42,14.04113,-10.59209,3.71072,20,0
V0,0,43,14.04113,-10.40227,3.70499,21,0
V0,0,44,14.04113,-10.40567,3.74181,21,0
V0,0,45,14.04113,-10.50338,3.93916,18,0
V0,0,46,14.04113,-10.57453,4.18158,17,0
V0,0,47,14.04113,-10.19052,4.70532,17,0
V0,0,48,14.04113,-10.16802,5.16126,16,0
V0,0,49,14.04113,-10.5201,4.93055,17,0
